symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg
0,,jaguar,gas,std,four,sedan,rwd,front,113.0,197.60399999999998,68.904,52.272,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15,19
1,111.87,mazda,gas,std,four,sedan,fwd,front,93.1,165.132,63.558,53.559,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68.0,5000.0,31,38
2,132.66,toyota,gas,std,two,hardtop,rwd,front,98.4,174.438,64.94399999999999,51.48,2540,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30
0,159.39,peugot,diesel,turbo,four,sedan,rwd,front,107.9,184.833,67.71600000000001,56.133,3197,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,28,33
0,104.94,honda,gas,std,two,hatchback,fwd,front,96.5,165.825,64.548,52.766999999999996,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33
0,,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,206.019,70.983,56.133,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184.0,4500.0,14,16
0,116.82,mazda,gas,std,four,sedan,rwd,front,104.9,173.25,65.439,53.856,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120.0,5000.0,19,27
0,108.9,honda,gas,std,four,sedan,fwd,front,96.5,161.766,63.36,53.955,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34
0,,mazda,diesel,std,four,sedan,rwd,front,104.9,173.25,65.439,53.856,2700,ohc,four,134,idi,3.43,3.64,22.0,72.0,4200.0,31,39
1,120.78,nissan,gas,std,four,sedan,fwd,front,94.5,163.64700000000002,63.162,53.955,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37
2,119.78999999999999,chevrolet,gas,std,two,hatchback,fwd,front,88.4,139.689,59.696999999999996,52.668,1488,l,three,61,2bbl,2.91,3.03,9.5,48.0,5100.0,47,53
2,132.66,toyota,gas,std,two,hardtop,rwd,front,98.4,174.438,64.94399999999999,51.48,2679,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30
1,111.87,mazda,gas,std,four,sedan,fwd,front,93.1,165.132,63.558,53.559,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38
0,88.11,subaru,gas,std,four,wagon,fwd,front,97.0,171.765,64.74600000000001,52.47,2290,ohcf,four,108,2bbl,3.62,2.64,9.0,82.0,4800.0,28,32
3,148.5,saab,gas,std,two,hatchback,fwd,front,99.1,184.73399999999998,65.835,55.539,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110.0,5250.0,21,28
0,159.39,peugot,diesel,turbo,four,sedan,rwd,front,107.9,184.833,67.71600000000001,56.133,3252,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,28,33
1,101.97,nissan,gas,std,four,wagon,fwd,front,94.5,168.498,63.162,52.964999999999996,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37
0,104.94,honda,gas,std,two,hatchback,fwd,front,96.5,165.825,64.548,52.766999999999996,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33
1,166.32,toyota,gas,std,two,sedan,rwd,front,94.5,167.01299999999998,63.36,52.074,2265,dohc,four,98,mpfi,3.24,3.08,9.4,112.0,6600.0,26,29
2,82.17,subaru,gas,std,two,hatchback,fwd,front,93.7,155.33100000000002,62.766,53.163000000000004,2050,ohcf,four,97,2bbl,3.62,2.36,9.0,69.0,4900.0,31,36
2,135.63,honda,gas,std,two,hatchback,fwd,front,86.6,143.154,63.260999999999996,50.291999999999994,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,31,38
0,186.12,bmw,gas,std,four,sedan,rwd,front,101.2,175.032,64.152,53.757,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28
0,84.15,honda,gas,std,four,sedan,fwd,front,96.5,173.64600000000002,64.548,53.559,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33
1,126.72,nissan,diesel,std,two,sedan,fwd,front,94.5,163.64700000000002,63.162,53.955,2017,ohc,four,103,idi,2.99,3.47,21.9,55.0,4800.0,45,50
2,162.35999999999999,audi,gas,std,four,sedan,4wd,front,99.4,174.834,65.736,53.757,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115.0,5500.0,18,22
0,84.15,honda,gas,std,four,sedan,fwd,front,96.5,173.64600000000002,64.548,53.559,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101.0,5800.0,24,28
0,80.19,chevrolet,gas,std,four,sedan,fwd,front,94.5,157.21200000000002,62.964,51.48,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43
1,117.81,plymouth,gas,std,two,hatchback,fwd,front,93.7,155.727,63.162,50.291999999999994,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,37,41
3,192.06,nissan,gas,std,two,hatchback,rwd,front,91.3,168.993,67.221,49.203,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200.0,19,25
1,,bmw,gas,std,four,sedan,rwd,front,103.5,187.10999999999999,66.23100000000001,55.143,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,20,25
3,148.5,mazda,gas,std,two,hatchback,rwd,front,95.3,167.31,65.043,49.104,2500,rotor,two,80,mpfi,,,9.4,135.0,6000.0,16,23
1,99.99,honda,gas,std,two,hatchback,fwd,front,93.7,148.5,63.36,52.074,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34
1,102.96,mazda,gas,std,two,hatchback,fwd,front,93.1,157.509,63.558,53.559,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38
3,195.03,toyota,gas,std,two,hatchback,rwd,front,102.9,181.665,67.023,51.48,2976,dohc,six,171,mpfi,3.27,3.35,9.3,161.0,5200.0,20,24
1,99.99,honda,gas,std,two,hatchback,fwd,front,93.7,148.5,63.36,52.074,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60.0,5500.0,38,42
3,148.5,mazda,gas,std,two,hatchback,rwd,front,95.3,167.31,65.043,49.104,2385,rotor,two,70,4bbl,,,9.4,101.0,6000.0,17,23
0,126.72,nissan,gas,std,four,sedan,fwd,front,100.4,179.88299999999998,65.835,54.549,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,17,22
0,143.55,jaguar,gas,std,four,sedan,rwd,front,113.0,197.60399999999998,68.904,52.272,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15,19
0,159.39,peugot,diesel,turbo,four,sedan,rwd,front,107.9,184.833,67.71600000000001,56.133,3252,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,28,33
-1,94.05,volvo,gas,std,four,sedan,rwd,front,109.1,186.912,68.211,54.945,2952,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,23,28
3,151.47,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,171.27,64.74600000000001,48.906,2370,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30
2,166.32,nissan,gas,std,two,hardtop,fwd,front,95.1,160.776,63.162,52.766999999999996,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37
3,148.5,mazda,gas,std,two,hatchback,rwd,front,95.3,167.31,65.043,49.104,2380,rotor,two,70,4bbl,,,9.4,101.0,6000.0,17,23
2,82.17,subaru,gas,std,two,hatchback,fwd,front,93.7,156.321,62.964,53.163000000000004,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,73.0,4400.0,26,31
2,159.39,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,155.727,63.75600000000001,50.291999999999994,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38
1,126.72,nissan,gas,std,two,sedan,fwd,front,94.5,163.64700000000002,63.162,53.955,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37
-1,92.07,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,188.991,69.597,55.935,3515,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25
2,,renault,gas,std,two,hatchback,fwd,front,96.1,175.032,65.934,49.995,2460,ohc,four,132,mpfi,3.46,3.9,8.7,,,23,31
0,159.39,peugot,gas,turbo,four,sedan,rwd,front,108.0,184.833,67.61699999999999,55.44,3130,l,four,134,mpfi,3.61,3.21,7.0,142.0,5600.0,18,24
2,159.39,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,155.727,63.75600000000001,50.291999999999994,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,37,41
-1,,toyota,gas,std,four,wagon,rwd,front,104.5,185.922,65.835,53.559,3151,dohc,six,161,mpfi,3.27,3.35,9.2,156.0,5200.0,19,24
0,104.94,nissan,gas,std,four,sedan,fwd,front,97.2,171.666,64.548,54.153000000000006,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,27,34
1,,mercury,gas,turbo,two,hatchback,rwd,front,102.7,176.616,67.32,54.251999999999995,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175.0,5000.0,19,24
3,184.14,porsche,gas,std,two,hatchback,rwd,front,94.5,167.211,67.61699999999999,49.698,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143.0,5500.0,19,27
2,82.17,subaru,gas,std,two,hatchback,4wd,front,93.3,155.727,63.162,55.143,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73.0,4400.0,26,31
0,,peugot,gas,std,four,wagon,rwd,front,114.2,196.911,67.71600000000001,56.133,3285,l,four,120,mpfi,3.46,2.19,8.4,95.0,5000.0,19,24
1,228.69,nissan,gas,std,two,hatchback,rwd,front,99.2,176.715,67.221,49.203,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200.0,19,25
0,90.09,toyota,gas,std,four,wagon,4wd,front,95.7,168.003,62.964,58.509,3110,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,27,32
3,,porsche,gas,std,two,hardtop,rwd,rear,89.5,167.211,64.35,51.084,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,17,25
-1,94.05,volvo,gas,turbo,four,sedan,rwd,front,109.1,186.912,68.211,54.945,3062,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,19,25
-1,73.26,plymouth,gas,std,four,wagon,fwd,front,103.3,172.85399999999998,63.95399999999999,59.202,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,24,30
1,152.46,plymouth,gas,std,four,hatchback,fwd,front,93.7,155.727,63.162,50.094,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38
3,143.55,dodge,gas,turbo,two,hatchback,fwd,front,95.9,171.468,65.637,49.698,2811,ohc,four,156,mfi,3.6,3.9,7.0,145.0,5000.0,19,24
0,84.15,subaru,gas,std,four,wagon,4wd,front,96.9,171.864,64.74600000000001,54.351,2420,ohcf,four,108,2bbl,3.62,2.64,9.0,82.0,4800.0,23,29
2,132.66,toyota,gas,std,two,hatchback,rwd,front,98.4,174.438,64.94399999999999,51.48,2551,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30
0,106.92,nissan,gas,std,four,sedan,fwd,front,100.4,182.754,65.835,54.549,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,19,25
2,135.63,honda,gas,std,two,hatchback,fwd,front,86.6,143.154,63.260999999999996,50.291999999999994,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58.0,4800.0,49,54
-2,101.97,volvo,gas,turbo,four,sedan,rwd,front,104.3,186.912,66.528,55.638000000000005,3045,ohc,four,130,mpfi,3.62,3.15,7.5,162.0,5100.0,17,22
1,127.71,mazda,gas,std,two,hatchback,fwd,front,98.8,176.02200000000002,65.835,53.163000000000004,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32
2,93.06,volkswagen,gas,std,four,sedan,fwd,front,97.3,169.98299999999998,64.845,55.143,2300,ohc,four,109,mpfi,3.19,3.4,10.0,100.0,5500.0,26,32
0,90.09,toyota,gas,std,four,sedan,fwd,front,95.7,164.637,63.75600000000001,52.47,2081,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,30,37
0,80.19,toyota,gas,std,four,wagon,4wd,front,95.7,168.003,62.964,58.509,2290,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,27,32
0,,renault,gas,std,four,wagon,fwd,front,96.1,179.685,65.835,54.648,2579,ohc,four,132,mpfi,3.46,3.9,8.7,,,23,31
2,102.96,saab,gas,std,four,sedan,fwd,front,99.1,184.73399999999998,65.835,55.539,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110.0,5250.0,21,28
1,123.75,mitsubishi,gas,std,four,sedan,fwd,front,96.3,170.67600000000002,64.74600000000001,51.084,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32
1,123.75,mitsubishi,gas,std,four,sedan,fwd,front,96.3,170.67600000000002,64.74600000000001,51.084,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32
2,120.78,volkswagen,diesel,std,two,sedan,fwd,front,97.3,169.98299999999998,64.845,55.143,2261,ohc,four,97,idi,3.01,3.4,23.0,52.0,4800.0,37,46
0,88.11,subaru,gas,std,four,wagon,fwd,front,97.0,171.765,64.74600000000001,52.47,2455,ohcf,four,108,mpfi,3.62,2.64,9.0,94.0,5200.0,25,31
3,,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,171.468,65.637,49.698,2921,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,19,24
1,123.75,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,170.67600000000002,64.74600000000001,51.084,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30
1,166.32,toyota,gas,std,two,hatchback,rwd,front,94.5,167.01299999999998,63.36,52.074,2204,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,29,34
1,105.92999999999999,honda,gas,std,two,sedan,fwd,front,96.5,167.409,65.34,50.49,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100.0,5500.0,25,31
1,146.52,dodge,gas,std,four,sedan,fwd,front,93.7,155.727,63.162,50.094,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38
3,148.5,mazda,gas,std,two,hatchback,rwd,front,95.3,167.31,65.043,49.104,2380,rotor,two,70,4bbl,,,9.4,101.0,6000.0,17,23
3,,alfa-romero,gas,std,two,convertible,rwd,front,88.6,167.11200000000002,63.458999999999996,48.312,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27
0,,isuzu,gas,std,four,sedan,rwd,front,94.3,168.993,61.181999999999995,52.964999999999996,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78.0,4800.0,24,29
-1,92.07,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,200.57399999999998,70.983,55.736999999999995,3770,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25
0,100.98,subaru,gas,turbo,four,sedan,4wd,front,97.0,170.28,64.74600000000001,53.757,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111.0,4800.0,24,29
0,76.23,toyota,gas,std,four,wagon,fwd,front,95.7,168.003,62.964,58.509,2280,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,31,37
-2,101.97,volvo,gas,std,four,sedan,rwd,front,104.3,186.912,66.528,55.638000000000005,2912,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,23,28
0,100.98,subaru,gas,std,four,sedan,fwd,front,97.2,170.28,64.74600000000001,51.975,2340,ohcf,four,108,mpfi,3.62,2.64,9.0,94.0,5200.0,26,32
1,101.97,nissan,gas,std,four,wagon,fwd,front,94.5,168.498,63.162,52.964999999999996,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37
-1,135.63,mitsubishi,gas,std,four,sedan,fwd,front,96.3,170.67600000000002,64.74600000000001,51.084,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30
2,159.39,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,155.727,63.75600000000001,50.291999999999994,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38
0,,peugot,diesel,turbo,four,wagon,rwd,front,114.2,196.911,67.71600000000001,58.113,3485,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,25,25
3,151.47,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,171.27,64.74600000000001,48.906,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32
0,,bmw,gas,std,two,sedan,rwd,front,103.5,191.86200000000002,67.221,53.163000000000004,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22
1,,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,169.488,64.845,51.876,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000.0,19,26
1,,mercedes-benz,gas,std,two,hardtop,rwd,front,112.0,197.208,71.28,54.846,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184.0,4500.0,14,16
1,156.42,audi,gas,turbo,four,sedan,fwd,front,105.8,190.773,70.686,55.341,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140.0,5500.0,17,20
0,190.07999999999998,bmw,gas,std,four,sedan,rwd,front,101.2,175.032,64.152,53.757,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29
0,159.39,peugot,gas,std,four,sedan,rwd,front,107.9,184.833,67.71600000000001,56.133,3020,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,19,24
0,,volkswagen,gas,std,four,sedan,fwd,front,100.4,178.398,66.23100000000001,54.549,2661,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,24
2,,isuzu,gas,std,two,hatchback,rwd,front,96.0,170.874,64.548,50.885999999999996,2734,ohc,four,119,spfi,3.43,3.23,9.2,90.0,5000.0,24,29
0,106.92,nissan,gas,std,four,wagon,fwd,front,100.4,182.754,65.835,55.539,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,17,22
1,,audi,gas,std,four,wagon,fwd,front,105.8,190.773,70.686,55.143,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25
2,132.66,toyota,gas,std,two,hardtop,rwd,front,98.4,174.438,64.94399999999999,51.48,2536,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30
-1,64.35,toyota,gas,std,four,sedan,fwd,front,102.4,173.844,65.835,54.351,2326,ohc,four,122,mpfi,3.31,3.54,8.7,92.0,4200.0,29,34
3,,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,171.468,65.637,49.698,2926,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,19,24
-1,108.9,dodge,gas,std,four,wagon,fwd,front,103.3,172.85399999999998,63.95399999999999,59.202,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88.0,5000.0,24,30
2,93.06,volkswagen,gas,std,four,sedan,fwd,front,97.3,169.98299999999998,64.845,55.143,2275,ohc,four,109,mpfi,3.19,3.4,9.0,85.0,5250.0,27,34
1,97.02,chevrolet,gas,std,two,hatchback,fwd,front,94.5,154.341,62.964,51.48,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43
0,90.09,toyota,gas,std,four,hatchback,fwd,front,95.7,164.637,63.75600000000001,52.272,2122,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,28,34
0,,bmw,gas,std,four,sedan,rwd,front,103.5,187.10999999999999,66.23100000000001,55.143,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22
0,,jaguar,gas,std,two,sedan,rwd,front,102.0,189.783,69.89399999999999,47.321999999999996,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262.0,5000.0,13,17
3,,alfa-romero,gas,std,two,convertible,rwd,front,88.6,167.11200000000002,63.458999999999996,48.312,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27
1,166.32,toyota,gas,std,two,hatchback,rwd,front,94.5,167.01299999999998,63.36,52.074,2300,dohc,four,98,mpfi,3.24,3.08,9.4,112.0,6600.0,26,29
0,,volkswagen,gas,std,four,wagon,fwd,front,100.4,181.269,66.23100000000001,54.549,2563,ohc,four,109,mpfi,3.19,3.4,9.0,88.0,5500.0,25,31
